Question,Answers,Correct Answer,Image
Which functions of an SDN architecture require southbound APIs to enable communication?,"['SDN controller and the network elements', 'management console and the SDN controller', 'management console and the cloud', 'SDN controller and the cloud']",A,
Which two request methods of REST API are valid on the Cisco ASA Platform? (Choose two.),"['put', 'options', 'get', 'push', 'connect']",AC,
The main function of northbound APIs in the SDN architecture is to enable communication between which two areas of a network?,"['SDN controller and the cloud', 'management console and the SDN controller', 'management console and the cloud', 'SDN controller and the management solution']",D,
What is a feature of the open platform capabilities of Cisco DNA Center?,"['application adapters', 'domain integration', 'intent-based APIs', 'automation adapters']",C,
